,category_code,p_code,p_group,kind_name_new,rank,unit,price
8595,AW_A00058,AW_A00058,멜론,멜론(8kg),중품,8kg,"28,000"
8596,AW_A00029,AW_A00029,깐마늘(국산),깐마늘(국산)(대서)(20kg),상품,20kg,"170,000"
8597,AW_A00030,AW_A00030,깐마늘(국산),깐마늘(국산)(대서)(20kg),중품,20kg,"160,000"
8598,AW_A00027,AW_A00027,깐마늘(국산),깐마늘(국산)(남도)(20kg),상품,20kg,"175,000"
8599,AW_A00028,AW_A00028,깐마늘(국산),깐마늘(국산)(남도)(20kg),중품,20kg,"165,000"
8600,AW_A00042,AW_A00042,방울토마토,대추방울토마토(1kg),상품,1kg,"4,900"
8601,AW_A00043,AW_A00043,방울토마토,대추방울토마토(1kg),중품,1kg,"4,400"
8602,AW_A00086,AW_A00086,배추,배추(월동)(10kg),상품,10kg,"12,000"
8603,AW_A00087,AW_A00087,배추,배추(월동)(10kg),중품,10kg,"11,000"
8604,AW_A00122,AW_A00122,양배추,양배추(8kg),상품,8kg,"9,330"
